,NAME,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,1st_APPEARANCE,YEAR,DC_MV
63,Brian Braddock (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,528.0,10,1976.0,1
64,Otto Octavius (Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,526.0,7,1963.0,1
65,James Rhodes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,525.0,1,1979.0,1
66,Timothy Dugan (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Straight,Deceased Characters,517.0,5,1963.0,1
67,Crystalia Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Straight,Living Characters,512.0,12,1965.0,1
68,Samuel Wilson (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,512.0,9,1969.0,1
69,Wilson Fisk (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Straight,Living Characters,503.0,7,1967.0,1
70,Odin Borson (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Straight,Living Characters,502.0,10,1962.0,1
71,Deadpool (Wade Wilson),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Transvestites,Living Characters,500.0,2,1991.0,1
72,Dane Whitman (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,478.0,12,1967.0,1
73,Harold Osborn (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Straight,Living Characters,474.0,12,1965.0,1
74,Franklin Richards (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,473.0,11,1968.0,1
75,Jessica Drew (Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,Straight,Living Characters,471.0,2,1977.0,1
76,Roberto da Costa (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,464.0,11,1982.0,1
77,Rahne Sinclair (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Straight,Living Characters,448.0,11,1982.0,1
78,Elizabeth Ross (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Straight,Living Characters,446.0,5,1962.0,1
79,Lorna Dane (Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,Straight,Living Characters,433.0,10,1968.0,1
81,Johnathon Blaze (Earth-616),Secret Identity,Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,Straight,Living Characters,426.0,8,1972.0,1
82,Sif (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Straight,Living Characters,422.0,3,1964.0,1
83,Red Hulk (Thaddeus Ross),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,415.0,5,1962.0,1
84,Jubilation Lee (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Straight,Living Characters,408.0,5,1989.0,1
85,Volstagg (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Straight,Living Characters,406.0,8,1965.0,1
86,Balder Odinson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,403.0,10,1962.0,1
87,Galactus (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,No Hair,Male Characters,Straight,Living Characters,390.0,3,1966.0,1
88,Danielle Moonstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Straight,Living Characters,388.0,11,1982.0,1
89,Marc Spector (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,387.0,8,1975.0,1
90,Gwendolyne Stacy (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Deceased Characters,384.0,12,1965.0,1
91,Medusalith Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Straight,Living Characters,382.0,3,1965.0,1
92,Sabretooth (Victor Creed),Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,Straight,Living Characters,382.0,8,1977.0,1
93,Illyana Rasputina (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,380.0,5,1975.0,1
94,Johann Shmidt (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Deceased Characters,376.0,8,1941.0,1
95,Fandral (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Deceased Characters,375.0,8,1965.0,1
96,Sean Cassidy (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,Straight,Living Characters,374.0,1,1967.0,1
97,Thomas Raymond (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,373.0,9,1940.0,1
98,Uatu (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Straight,Deceased Characters,373.0,4,1963.0,1
99,Richard Rider (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,373.0,9,1976.0,1
100,Hogun (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Straight,Living Characters,371.0,8,1965.0,1
101,Raven Darkholme (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,371.0,4,1978.0,1
102,Barbara Morse (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,368.0,6,1971.0,1
103,Blackagar Boltagon (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,366.0,12,1965.0,1
104,Brunnhilde (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,361.0,12,1970.0,1
105,Alison Blaire (Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Straight,Living Characters,353.0,2,1980.0,1
106,Venom (Symbiote) (Earth-616),Known to Authorities Identity,Neutral Characters,Variable Eyes,No Hair,Agender Characters,Straight,Living Characters,348.0,5,1984.0,1
107,John Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,346.0,11,1986.0,1
108,Greer Grant (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Straight,Living Characters,342.0,11,1972.0,1
109,Karla Sofen (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,340.0,12,1975.0,1
110,William Baker (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,338.0,9,1963.0,1
111,Sharon Carter (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,332.0,3,1966.0,1
112,Felicia Hardy (Earth-616),Public Identity,Bad Characters,None,Blond Hair,Female Characters,Straight,Living Characters,332.0,7,1979.0,1
113,Cain Marko (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,Straight,Living Characters,329.0,7,1965.0,1
115,Maria Hill (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Straight,Living Characters,325.0,4,2005.0,1
116,Ben Urich (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,324.0,7,1978.0,1
117,Heather Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Bisexual Characters,Living Characters,323.0,1,1973.0,1
119,James Proudstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,320.0,6,1984.0,1
120,Angelica Jones (Earth-616),Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Straight,Living Characters,319.0,5,1985.0,1
121,Edward Brock (Earth-616),Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,Straight,Living Characters,318.0,9,1986.0,1
122,MacDonald Gargan (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Straight,Living Characters,317.0,12,1964.0,1
123,Mephisto (Earth-616),No Dual Identity,Bad Characters,White Eyes,Black Hair,Male Characters,Straight,Living Characters,316.0,12,1968.0,1
124,Tabitha Smith (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,316.0,11,1985.0,1
125,Jean-Paul Beaubier (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,313.0,4,1979.0,1
126,Daniel Ketch (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,Straight,Living Characters,311.0,5,1990.0,1
127,Neena Thurman (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Straight,Living Characters,310.0,3,1992.0,1
128,Wong (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,Straight,Living Characters,306.0,7,1963.0,1
129,Thanos (Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Straight,Living Characters,306.0,2,1973.0,1
130,Shang-Chi (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,296.0,12,1973.0,1
131,Alicia Masters (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,Straight,Living Characters,293.0,11,1962.0,1
132,Robert Baldwin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,293.0,9,1988.0,1
133,Vance Astrovik (Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Straight,Living Characters,290.0,7,1975.0,1
134,Wendell Vaughn (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,290.0,1,1978.0,1
136,Abner Jenkins (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,284.0,8,1964.0,1
137,Elektra Natchios (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Straight,Living Characters,280.0,1,1981.0,1
138,Bullseye (Lester) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,277.0,3,1976.0,1
139,Forge (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,276.0,8,1984.0,1
140,Virginia Potts (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Straight,Living Characters,274.0,9,1963.0,1
141,Walter Langkowski (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,273.0,4,1979.0,1
142,Gorgon (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,272.0,11,1965.0,1
143,James Madrox (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,271.0,2,1975.0,1
144,Heimdall (Earth-616),Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,Straight,Living Characters,270.0,10,1962.0,1
145,Theresa Cassidy (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Straight,Living Characters,267.0,4,1981.0,1
146,Laura Kinney (Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Straight,Living Characters,265.0,2,2004.0,1
147,Arthur Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Straight,Living Characters,264.0,2,1973.0,1
148,Peter Parker (Ben Reilly) (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,Straight,Deceased Characters,263.0,10,1975.0,1
149,Warlock (Technarch) (Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,Straight,Living Characters,261.0,8,1984.0,1
150,Kevin Plunder (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,260.0,3,1965.0,1
151,Leonard Samson (Earth-616),Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,Straight,Deceased Characters,260.0,7,1971.0,1
152,Melissa Gold (Earth-616),Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,Straight,Living Characters,260.0,8,1979.0,1
153,Lockheed (Earth-616),Secret Identity,Good Characters,None,No Hair,Male Characters,Straight,Living Characters,260.0,2,1983.0,1
154,Mercedes Knight (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Straight,Living Characters,259.0,3,1972.0,1
155,Moira Kinross (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Straight,Deceased Characters,259.0,12,1975.0,1
156,Karnak (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Straight,Deceased Characters,257.0,12,1965.0,1
157,Namorita Prentiss (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Deceased Characters,257.0,6,1972.0,1
158,Lockjaw (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,255.0,12,1965.0,1
159,Adam Warlock (Earth-616),No Dual Identity,Good Characters,White Eyes,Gold Hair,Male Characters,Straight,Living Characters,252.0,9,1967.0,1
160,Heather McNeil (Earth-616),Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Straight,Living Characters,252.0,11,1980.0,1
161,Curtis Connors (Earth-616),Public Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,Straight,Living Characters,250.0,11,1963.0,1
162,Theodore Sallis (Earth-616),Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,Straight,Living Characters,249.0,5,1971.0,1
163,Adrian Toomes (Earth-616),Public Identity,Bad Characters,Hazel Eyes,Bald,Male Characters,Straight,Living Characters,248.0,5,1963.0,1
164,Amora (Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,Straight,Living Characters,247.0,4,1964.0,1
165,Clea (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Straight,Living Characters,247.0,11,1964.0,1
166,Mar-Vell (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Deceased Characters,245.0,12,1967.0,1
167,Eugene Judd (Earth-616),Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,Straight,Living Characters,245.0,8,1983.0,1
168,Daimon Hellstrom (Earth-616),No Dual Identity,Neutral Characters,Red Eyes,Red Hair,Male Characters,Straight,Living Characters,242.0,9,1973.0,1
169,John Jonah Jameson III (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,Straight,Living Characters,240.0,3,1963.0,1
170,Triton (Earth-616),No Dual Identity,Good Characters,Green Eyes,No Hair,Male Characters,Straight,Living Characters,240.0,12,1965.0,1
171,Meggan Puceanu (Earth-616),Secret Identity,Good Characters,None,None,Female Characters,Straight,Living Characters,240.0,12,1983.0,1
172,Robert Reynolds (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,240.0,9,2000.0,1
173,Aleksei Sytsevich (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,239.0,10,1966.0,1
174,Santo Vaccarro (Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,Straight,Living Characters,238.0,9,2003.0,1
175,Jonathan Clay (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Homosexual Characters,Living Characters,237.0,8,1960.0,1
176,Ares (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,236.0,4,1949.0,1
177,Sersi (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Straight,Living Characters,236.0,9,1976.0,1
178,Guido Carosella (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Straight,Living Characters,236.0,7,1985.0,1
179,Zabu (Earth-616),Public Identity,Good Characters,Green Eyes,Orange Hair,Male Characters,Straight,Living Characters,234.0,3,1965.0,1
180,Michael Morbius (Earth-616),Secret Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,Straight,Living Characters,231.0,10,1971.0,1
181,Julio Richter (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,Living Characters,231.0,6,1987.0,1
183,Megan Gwynn (Earth-616),Public Identity,Good Characters,Black Eyeballs,Pink Hair,Female Characters,Straight,Living Characters,229.0,11,2004.0,1
184,Kyle Richmond (Earth-616),Secret Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,Straight,Living Characters,227.0,10,1969.0,1
185,Karen Page (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Deceased Characters,226.0,4,1964.0,1
186,Tyrone Johnson (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,226.0,3,1982.0,1
187,Maxwell Dillon (Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Straight,Living Characters,225.0,2,1964.0,1
188,Valerie Cooper (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,225.0,12,1983.0,1
189,Anna May (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Straight,Living Characters,224.0,8,1964.0,1
190,Vlad Dracula (Earth-616),No Dual Identity,Bad Characters,Red Eyes,White Hair,Male Characters,Straight,Living Characters,223.0,3,1951.0,1
191,Tandy Bowen (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,222.0,3,1982.0,1
192,Monet St. Croix (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Straight,Living Characters,221.0,11,1994.0,1
193,Gamora (Earth-616),No Dual Identity,Neutral Characters,Yellow Eyes,Black Hair,Female Characters,Straight,Living Characters,218.0,6,1975.0,1
194,Amara Aquilla (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,217.0,10,1983.0,1
